nummer1	nummer2	autor	jahr	titel	typ	format	verlag	preis	beschreibung
408417	3150045711	Feuerbach, Ludwig	1986	Das Wesen des Christentums		KART 236 gr	Reclam, Philipp	11.80	 4571
408418	3150047188	Nestroy, Johann	1996	Die schlimmen Buben in der Schule. Frühere Verhältnisse		Erg. Ausg. 96 S. KART 53 gr	Reclam, Philipp	2.60	 4718
408419	3150047412	Mörike, Eduard	1986	Mozart auf der Reise nach Prag		79 S. KART 54 gr	Reclam, Philipp	2.40	 4741
408420	3150047552	Mörike, Eduard	1986	Das Stuttgarter Hutzelmännlein	Märchen	111 S. KART 61 gr	Reclam, Philipp	2.60	 4755
408422	3150048818	Hegel, Georg W F	1997	Vorlesungen über die Philosophie der Geschichte		612 S. KART 270 gr	Reclam, Philipp	11.60	 4881
408423	3150048915	Whitman, Walt	1986	Grashalme		239 S. KART 109 gr	Reclam, Philipp	6.00	 4891
408424	3150051940	Rodenbach, Georges	1986	Das tote Brügge		KART 53 gr	Reclam, Philipp	3.40	 5194
408425	3150052475	Pocci		Kasperlkomodien	Hrsg. v. Karl Pörnbacher	paperback	Philipp Reclam, Jun Verlag GmbH	1.53	Sprache: German
408426	3150052742	Hoffmann, E T A	1986	Rat Krespel. Die Fermate. Don Juan		KART 48 gr	Reclam, Philipp	2.40	 5274
408427	3150054346	Tolstoi, Leo N.		Und das Licht scheinet in der Finsternis	Drama in 4 Aufzügen	 	Reclam, Ditzingen	3.10	 Autorenporträt:Leo Tolstoi (1828-1910) entstammte einem alten russischen Adelsgeschlecht. Nach ausgedehnten Reisen durch Europa zog er sich auf sein Familiengut zurück und schrieb dort seine großen Werke. Unter dem Eindruck Rousseauscher Ideen verurteilte er Kultur und Zivilisation als das natürlich Menschentum verfälschende Elemente. Werke u.a.: Krieg und Frieden, Anna Karenina, Die Kreuzersonate, Meine Beichte. 
408428	3150056985	Wagner, Heinrich L	1986	Die Kindermörderin		174 S. KART 93 gr	Reclam, Philipp	4.00	Herausgegeben von: Fechner, Jörg U;5698
